GENESIS-Tabelle: 12613-0003
Gestorbene: Deutschland, Jahre, Geschlecht, Altersjahre;;;;;;
Statistik der Sterbef‰lle;;;;;;
Deutschland;;;;;;
Gestorbene (Anzahl);;;;;;
;;2014;2015;2016;2017;2018
m‰nnlich;46-J‰hrige;1457;1449;1353;1291;1173
m‰nnlich;47-J‰hrige;1746;1715;1588;1438;1376
m‰nnlich;48-J‰hrige;2006;1939;1865;1743;1580
m‰nnlich;49-J‰hrige;2265;2248;2172;1932;1934
m‰nnlich;50-J‰hrige;2584;2548;2417;2252;2257
m‰nnlich;51-J‰hrige;2776;2764;2722;2580;2539
m‰nnlich;52-J‰hrige;3079;3197;3048;2905;2893
m‰nnlich;53-J‰hrige;3407;3456;3376;3296;3321
m‰nnlich;54-J‰hrige;3648;3724;3744;3715;3662
m‰nnlich;55-J‰hrige;3775;4054;4013;3927;4095
m‰nnlich;56-J‰hrige;4037;4282;4319;4329;4356
m‰nnlich;57-J‰hrige;4363;4500;4551;4534;4873
m‰nnlich;58-J‰hrige;4650;4855;4969;4886;5037
m‰nnlich;59-J‰hrige;4912;5243;5176;5126;5355
m‰nnlich;60-J‰hrige;5137;5468;5452;5396;5719
m‰nnlich;61-J‰hrige;5652;5697;5676;5924;5992
m‰nnlich;62-J‰hrige;6091;6144;6093;6160;6440
m‰nnlich;63-J‰hrige;6248;6662;6479;6425;6729
m‰nnlich;64-J‰hrige;6777;7014;7038;6839;7098
m‰nnlich;65-J‰hrige;6812;7405;7468;7373;7393
m‰nnlich;66-J‰hrige;6656;7384;7767;7698;8005
m‰nnlich;67-J‰hrige;6716;7317;7967;8197;8382
m‰nnlich;68-J‰hrige;5578;7430;7479;8441;8760
m‰nnlich;69-J‰hrige;7005;6332;7898;8126;8848
m‰nnlich;70-J‰hrige;8924;8068;6631;8199;8592
m‰nnlich;71-J‰hrige;9242;9788;8292;7016;8913
m‰nnlich;72-J‰hrige;10877;10054;10119;8695;7463
m‰nnlich;73-J‰hrige;12826;12060;10438;10888;9220
m‰nnlich;74-J‰hrige;14198;13967;12365;10950;11567
m‰nnlich;75-J‰hrige;14450;15792;14471;13217;11779
m‰nnlich;76-J‰hrige;14482;15933;16112;15350;14097
m‰nnlich;77-J‰hrige;14524;15627;16447;17171;16043
m‰nnlich;78-J‰hrige;15084;15982;16416;17280;18119
m‰nnlich;79-J‰hrige;15788;16441;16516;17078;18475
m‰nnlich;80-J‰hrige;13810;17274;16755;17450;18152
m‰nnlich;81-J‰hrige;13201;15198;17464;17771;18418
m‰nnlich;82-J‰hrige;13962;14340;15348;18153;18612
m‰nnlich;83-J‰hrige;14966;14925;14209;15683;18563
m‰nnlich;84-J‰hrige;15309;15767;14610;14564;16280
m‰nnlich;85-J‰hrige;15142;16156;15252;15114;14651
m‰nnlich;86-J‰hrige;14052;15763;15269;15311;14923
m‰nnlich;87-J‰hrige;12410;14172;14874;15056;14949
m‰nnlich;88-J‰hrige;11087;12582;13398;14426;14726
m‰nnlich;89-J‰hrige;9471;10876;11448;12767;13728
m‰nnlich;90-J‰hrige;7765;9277;9735;10886;11749
m‰nnlich;91-J‰hrige;7210;7644;8017;9008;9569
m‰nnlich;92-J‰hrige;6523;6554;6363;7460;8147
m‰nnlich;93-J‰hrige;5262;5666;5226;5442;6245
m‰nnlich;94-J‰hrige;3940;4514;4557;4488;4584
m‰nnlich;95-J‰hrige;1802;3280;3377;3564;3655
m‰nnlich;96-J‰hrige;1176;1403;2527;2721;2758
m‰nnlich;97-J‰hrige;845;808;1076;1855;1986
m‰nnlich;98-J‰hrige;710;614;579;729;1295
m‰nnlich;99-J‰hrige;575;476;403;419;465
m‰nnlich;100 Jahre und mehr;1006;1082;907;846;747
m‰nnlich;Alter unbekannt;-;-;-;-;-
m‰nnlich;Insgesamt;422225;449512;448304;457756;470032
weiblich;unter 1 Jahr;1018;1108;1204;1148;1106
weiblich;1-J‰hrige;88;84;83;90;108
weiblich;2-J‰hrige;38;42;43;41;54
weiblich;3-J‰hrige;33;48;41;32;39
weiblich;4-J‰hrige;34;31;28;41;33
weiblich;5-J‰hrige;14;27;36;33;25
weiblich;6-J‰hrige;16;22;30;32;31
weiblich;7-J‰hrige;19;20;12;24;13
weiblich;8-J‰hrige;18;21;25;21;28
weiblich;9-J‰hrige;26;16;25;18;22
weiblich;10-J‰hrige;15;25;22;18;22
weiblich;11-J‰hrige;23;29;27;25;30
weiblich;12-J‰hrige;20;38;27;30;27
weiblich;13-J‰hrige;35;24;35;41;26
weiblich;14-J‰hrige;36;43;39;30;32
weiblich;15-J‰hrige;38;59;47;44;45
weiblich;16-J‰hrige;52;64;50;61;58
weiblich;17-J‰hrige;48;66;61;42;57
weiblich;18-J‰hrige;83;80;83;78;77
weiblich;19-J‰hrige;78;76;81;70;67
weiblich;20-J‰hrige;77;80;72;92;72
weiblich;21-J‰hrige;69;80;61;79;72
weiblich;22-J‰hrige;75;72;80;70;61
weiblich;23-J‰hrige;115;101;83;79;77
weiblich;24-J‰hrige;88;88;70;90;87
weiblich;25-J‰hrige;92;98;92;82;99
weiblich;26-J‰hrige;88;108;104;97;82
weiblich;27-J‰hrige;99;121;117;112;107
weiblich;28-J‰hrige;120;133;128;120;126
weiblich;29-J‰hrige;123;142;124;145;141
weiblich;30-J‰hrige;131;143;168;167;162
weiblich;31-J‰hrige;148;179;149;159;176
weiblich;32-J‰hrige;159;174;190;155;177
weiblich;33-J‰hrige;178;188;176;176;197
weiblich;34-J‰hrige;183;213;198;225;201
weiblich;35-J‰hrige;185;217;200;220;219
weiblich;36-J‰hrige;223;232;232;213;264
weiblich;37-J‰hrige;209;214;239;241;242
weiblich;38-J‰hrige;256;268;306;284;308
weiblich;39-J‰hrige;291;287;255;300;323
weiblich;40-J‰hrige;284;305;356;324;306
weiblich;41-J‰hrige;389;328;365;317;368
weiblich;42-J‰hrige;443;414;381;350;389
weiblich;43-J‰hrige;502;499;434;421;449
weiblich;44-J‰hrige;607;594;540;475;448
weiblich;45-J‰hrige;694;657;662;626;565
weiblich;46-J‰hrige;867;823;725;725;643
weiblich;47-J‰hrige;957;964;918;790;787
weiblich;48-J‰hrige;1049;1080;1122;980;943
weiblich;49-J‰hrige;1277;1246;1223;1156;1093
weiblich;50-J‰hrige;1404;1388;1327;1209;1237
weiblich;51-J‰hrige;1596;1543;1477;1458;1499
weiblich;52-J‰hrige;1668;1705;1705;1613;1556
weiblich;53-J‰hrige;1863;1881;1796;1819;1744
weiblich;54-J‰hrige;1967;2007;1980;2035;1946
weiblich;55-J‰hrige;1964;2162;2227;2115;2216
weiblich;56-J‰hrige;2142;2244;2299;2367;2382
weiblich;57-J‰hrige;2295;2379;2447;2494;2545
weiblich;58-J‰hrige;2410;2545;2682;2601;2703
weiblich;59-J‰hrige;2748;2676;2750;2694;2890
weiblich;60-J‰hrige;2904;2980;3042;2996;3023
weiblich;61-J‰hrige;2921;3148;3020;3267;3245
weiblich;62-J‰hrige;3108;3295;3311;3298;3440
weiblich;63-J‰hrige;3372;3506;3509;3586;3743
weiblich;64-J‰hrige;3649;3844;3838;3800;4155
weiblich;65-J‰hrige;3818;4107;4140;4067;4189
weiblich;66-J‰hrige;3809;4250;4402;4391;4619
weiblich;67-J‰hrige;3849;4361;4556;4672;4803
weiblich;68-J‰hrige;3331;4347;4484;4945;5219
weiblich;69-J‰hrige;4309;3723;4642;4820;5442
weiblich;70-J‰hrige;5280;4880;4158;5173;5334
weiblich;71-J‰hrige;5543;6103;5200;4496;5466
weiblich;72-J‰hrige;6780;6241;6388;5704;4859
weiblich;73-J‰hrige;7925;7705;6656;7139;6270
weiblich;74-J‰hrige;9208;8967;8219;7328;7753
weiblich;75-J‰hrige;9861;10627;9613;8970;8179
weiblich;76-J‰hrige;10358;11400;11320;10690;10051
weiblich;77-J‰hrige;11101;11651;11880;12424;11728
weiblich;78-J‰hrige;11998;12668;12488;13201;14008
weiblich;79-J‰hrige;13358;13844;13504;13851;14821
weiblich;80-J‰hrige;12630;15309;15011;15085;15212
weiblich;81-J‰hrige;12671;14287;16166;16457;16463
weiblich;82-J‰hrige;14170;14457;14927;17814;18023
weiblich;83-J‰hrige;16076;16046;14896;16270;19179
weiblich;84-J‰hrige;17890;18400;16486;16095;17786
weiblich;85-J‰hrige;18891;20107;18651;18156;17305
weiblich;86-J‰hrige;19686;21104;20234;19740;18899
weiblich;87-J‰hrige;20278;21343;20736;20985;20991
weiblich;88-J‰hrige;21102;21580;20626;21522;22002
weiblich;89-J‰hrige;20787;22323;20621;20867;21894
weiblich;90-J‰hrige;19508;21950;20463;20862;21143
weiblich;91-J‰hrige;18961;19976;19734;20394;20105
weiblich;92-J‰hrige;18334;18721;17538;18765;19066
weiblich;93-J‰hrige;16507;17620;15801;16291;17202
weiblich;94-J‰hrige;13364;15171;14392;14259;14161
weiblich;95-J‰hrige;6350;11946;11846;12522;12156
weiblich;96-J‰hrige;4346;5376;9391;10100;10420
weiblich;97-J‰hrige;3543;3746;4029;7572;8020
weiblich;98-J‰hrige;3104;2908;2527;3214;5641
weiblich;99-J‰hrige;3208;2377;1993;1974;2319
weiblich;100 Jahre und mehr;6476;6793;5698;5151;4706
weiblich;Alter unbekannt;-;-;-;-;-
weiblich;Insgesamt;446131;475688;462595;474507;484842
Insgesamt;unter 1 Jahr;2284;2405;2698;2566;2505
Insgesamt;1-J‰hrige;168;192;197;199;215
Insgesamt;2-J‰hrige;75;107;111;99;111
Insgesamt;3-J‰hrige;91;92;78;69;90
Insgesamt;4-J‰hrige;73;73;72;72;78
Insgesamt;5-J‰hrige;40;57;82;66;58
Insgesamt;6-J‰hrige;53;57;71;60;63
Insgesamt;7-J‰hrige;51;47;45;49;51
Insgesamt;8-J‰hrige;41;49;63;49;58
Insgesamt;9-J‰hrige;62;40;53;42;60
Insgesamt;10-J‰hrige;40;54;53;41;57
Insgesamt;11-J‰hrige;60;60;59;53;57
Insgesamt;12-J‰hrige;58;67;49;52;61
Insgesamt;13-J‰hrige;73;55;77;73;62
Insgesamt;14-J‰hrige;86;87;89;83;87
Insgesamt;15-J‰hrige;96;126;106;101;120
Insgesamt;16-J‰hrige;159;168;164;153;159
Insgesamt;17-J‰hrige;171;190;192;154;168
Insgesamt;18-J‰hrige;237;248;265;232;255
Insgesamt;19-J‰hrige;266;257;266;264;241
Insgesamt;20-J‰hrige;265;289;280;297;271
Insgesamt;21-J‰hrige;275;307;240;266;282
Insgesamt;22-J‰hrige;254;287;322;260;277
Insgesamt;23-J‰hrige;371;314;292;269;274
Insgesamt;24-J‰hrige;345;338;313;325;319
Insgesamt;25-J‰hrige;368;359;334;300;321
Insgesamt;26-J‰hrige;340;378;364;342;324
Insgesamt;27-J‰hrige;377;425;405;347;363
Insgesamt;28-J‰hrige;397;421;401;399;404
Insgesamt;29-J‰hrige;390;482;428;446;424
Insgesamt;30-J‰hrige;416;461;468;489;480
Insgesamt;31-J‰hrige;499;556;496;509;486
Insgesamt;32-J‰hrige;509;563;549;495;496
Insgesamt;33-J‰hrige;545;580;533;593;591
Insgesamt;34-J‰hrige;577;628;644;627;584
Insgesamt;35-J‰hrige;609;685;666;637;621
Insgesamt;36-J‰hrige;650;677;688;689;696
Insgesamt;37-J‰hrige;612;704;722;782;742
Insgesamt;38-J‰hrige;775;737;835;819;867
Insgesamt;39-J‰hrige;771;810;806;825;907
Insgesamt;40-J‰hrige;822;908;993;890;917
Insgesamt;41-J‰hrige;1011;993;984;925;1066
Insgesamt;42-J‰hrige;1251;1151;1092;993;1098
Insgesamt;43-J‰hrige;1478;1408;1206;1153;1185
Insgesamt;44-J‰hrige;1669;1623;1577;1353;1281
Insgesamt;45-J‰hrige;2029;1945;1826;1697;1531
Insgesamt;46-J‰hrige;2324;2272;2078;2016;1816
Insgesamt;47-J‰hrige;2703;2679;2506;2228;2163
Insgesamt;48-J‰hrige;3055;3019;2987;2723;2523
Insgesamt;49-J‰hrige;3542;3494;3395;3088;3027
Insgesamt;50-J‰hrige;3988;3936;3744;3461;3494
Insgesamt;51-J‰hrige;4372;4307;4199;4038;4038
Insgesamt;52-J‰hrige;4747;4902;4753;4518;4449
Insgesamt;53-J‰hrige;5270;5337;5172;5115;5065
Insgesamt;54-J‰hrige;5615;5731;5724;5750;5608
Insgesamt;55-J‰hrige;5739;6216;6240;6042;6311
Insgesamt;56-J‰hrige;6179;6526;6618;6696;6738
Insgesamt;57-J‰hrige;6658;6879;6998;7028;7418
Insgesamt;58-J‰hrige;7060;7400;7651;7487;7740
Insgesamt;59-J‰hrige;7660;7919;7926;7820;8245
Insgesamt;60-J‰hrige;8041;8448;8494;8392;8742
Insgesamt;61-J‰hrige;8573;8845;8696;9191;9237
Insgesamt;62-J‰hrige;9199;9439;9404;9458;9880
Insgesamt;63-J‰hrige;9620;10168;9988;10011;10472
Insgesamt;64-J‰hrige;10426;10858;10876;10639;11253
Insgesamt;65-J‰hrige;10630;11512;11608;11440;11582
Insgesamt;66-J‰hrige;10465;11634;12169;12089;12624
Insgesamt;67-J‰hrige;10565;11678;12523;12869;13185
Insgesamt;68-J‰hrige;8909;11777;11963;13386;13979
Insgesamt;69-J‰hrige;11314;10055;12540;12946;14290
Insgesamt;70-J‰hrige;14204;12948;10789;13372;13926
Insgesamt;71-J‰hrige;14785;15891;13492;11512;14379
Insgesamt;72-J‰hrige;17657;16295;16507;14399;12322
Insgesamt;73-J‰hrige;20751;19765;17094;18027;15490
Insgesamt;74-J‰hrige;23406;22934;20584;18278;19320
Insgesamt;75-J‰hrige;24311;26419;24084;22187;19958
Insgesamt;76-J‰hrige;24840;27333;27432;26040;24148
Insgesamt;77-J‰hrige;25625;27278;28327;29595;27771
Insgesamt;78-J‰hrige;27082;28650;28904;30481;32127
Insgesamt;79-J‰hrige;29146;30285;30020;30929;33296
Insgesamt;80-J‰hrige;26440;32583;31766;32535;33364
Insgesamt;81-J‰hrige;25872;29485;33630;34228;34881
Insgesamt;82-J‰hrige;28132;28797;30275;35967;36635
Insgesamt;83-J‰hrige;31042;30971;29105;31953;37742
Insgesamt;84-J‰hrige;33199;34167;31096;30659;34066
Insgesamt;85-J‰hrige;34033;36263;33903;33270;31956
Insgesamt;86-J‰hrige;33738;36867;35503;35051;33822
Insgesamt;87-J‰hrige;32688;35515;35610;36041;35940
Insgesamt;88-J‰hrige;32189;34162;34024;35948;36728
Insgesamt;89-J‰hrige;30258;33199;32069;33634;35622
Insgesamt;90-J‰hrige;27273;31227;30198;31748;32892
Insgesamt;91-J‰hrige;26171;27620;27751;29402;29674
Insgesamt;92-J‰hrige;24857;25275;23901;26225;27213
Insgesamt;93-J‰hrige;21769;23286;21027;21733;23447
Insgesamt;94-J‰hrige;17304;19685;18949;18747;18745
Insgesamt;95-J‰hrige;8152;15226;15223;16086;15811
Insgesamt;96-J‰hrige;5522;6779;11918;12821;13178
Insgesamt;97-J‰hrige;4388;4554;5105;9427;10006
Insgesamt;98-J‰hrige;3814;3522;3106;3943;6936
Insgesamt;99-J‰hrige;3783;2853;2396;2393;2784
Insgesamt;100 Jahre und mehr;7482;7875;6605;5997;5453
Insgesamt;Alter unbekannt;-;-;-;-;-
Insgesamt;Insgesamt;868356;925200;910902;932272;954874
__________
"Ohne Totgeborene, nachtr‰glich beurkundete Kriegssterbef‰lle
und gerichtliche Todeserkl‰rungen.

Ab 2016:
Gesamtzahl der Sterbef‰lle einschlieﬂlich F‰lle mit
unbestimmtem Geschlecht."
© Statistisches Bundesamt (Destatis), 2020
Stand: 08.04.2020 / 16:55:29
